2020-09-03 10:52:04

Population = 0:
Empty DataFrame
Columns: [Scrape_Date, Facility_Identifier, Population, Change]
Index: []


Drastic Change:
Scrape_Date      Facility_Identifier  Population      Change
 2020-05-25               WA_Cowlitz         120    0.100917
 2020-05-23                 OK_Grady         144    0.125000
 2020-05-21                  AR_Pope         103   -0.127119
 2020-05-21               GA_Catoosa         119   -0.105263
 2020-05-20                KY_Leslie         168   -0.142857
 2020-05-20                 OK_Grady         128   -0.111111
 2020-05-20               OK_Wagoner         107    0.126316
 2020-05-19             GA_Whitfield         302   -0.122093
 2020-05-19                KY_Leslie         196    0.159763
 2020-05-18           KY_Three_Forks         169   -0.137755
 2020-05-17           KY_Three_Forks         196    0.146199
 2020-05-16             NV_Las_Vegas         294    0.101124
 2020-05-15                 OK_Grady         144    0.125000
 2020-05-14                 OK_Grady         128   -0.111111
 2020-05-12                   NM_Lea         128    0.113043
 2020-05-12             NV_Las_Vegas         274   -0.132911
 2020-05-10                 KY_Casey         224    0.103448
 2020-05-10          OK_Pottawatomie         139    0.103175
 2020-05-09                 OK_Grady         144    0.125000
 2020-05-08            AR_Crittenden         151   -0.370833
 2020-05-08            FL_Okeechobee         245   -0.102564
 2020-05-08                 KY_Boyle         114   -0.179856
 2020-05-08          KY_Breckinridge         145   -0.136905
 2020-05-08             KY_Henderson         268   -0.129870
 2020-05-07                  NM_Luna         223   -0.197842
 2020-05-07                 OK_Grady         128   -0.111111
 2020-05-07    VA_Virginia_Peninsula         325   -0.107143
 2020-05-06               KY_Webster         224    0.103448
 2020-05-06                MS_Marion         308    0.100000
 2020-05-06              SC_Anderson         280    0.102362
 2020-05-05              AR_Crawford         116   -0.100775
 2020-05-05                CA_Madera         471   -0.111321
 2020-05-05                MO_Jasper         137    0.122951
 2020-05-03             NV_Las_Vegas         306    0.100719
 2020-05-03                 WA_Clark         372    0.244147
 2020-05-02                 WA_Clark         299   -0.176309
 2020-05-01                FL_Sumter         354   -0.184332
 2020-05-01               KY_Bourbon         164   -0.163265
 2020-05-01                 KY_Grant         172   -0.122449
 2020-05-01                KY_Leslie         172   -0.122449
 2020-05-01              LA_Richland         654   -0.129161
 2020-05-01                  LA_Winn         117   -0.106870
 2020-05-01                MO_Jasper         122   -0.374359
 2020-04-30             AL_Limestone         170   -0.322709
 2020-04-30                AR_Saline         119   -0.237179
 2020-04-30              KY_Calloway         114   -0.185714
 2020-04-30                 OK_Grady         144    0.125000
 2020-04-29                  IL_Kane         342   -0.297741
 2020-04-29               MS_Hancock         175   -0.107143
 2020-04-28               KY_Bourbon         196    0.132948
 2020-04-28              KY_Calloway         140    0.120000
 2020-04-28               MS_Hancock         196    0.126437
 2020-04-28              ND_Burleigh         196    0.152941
 2020-04-28                 OK_Grady         128   -0.111111
 2020-04-28                 WA_Lewis         106   -0.101695
 2020-04-27                CA_Nevada         154   -0.125000
 2020-04-27                NJ_Bergen         248   -0.383085
 2020-04-27                 OK_Grady         144    0.125000
 2020-04-24                  KY_Knox         270   -0.120521
 2020-04-23                CA_Nevada         178    0.155844
 2020-04-23                  TN_Knox         916   -0.345714
 2020-04-22               KY_Whitley         223   -0.115079
 2020-04-20                 OK_Grady         128   -0.111111
 2020-04-19                 OK_Grady         144    0.125000
 2020-04-18             NV_Las_Vegas         281    0.110672
 2020-04-16            KY_Crittenden         117   -0.164286
 2020-04-15                  FL_Levy         104   -0.251799
 2020-04-15            IN_Washington         125   -0.107143
 2020-04-15                 KY_Casey         251   -0.103571
 2020-04-15                 KY_Clark         175   -0.107143
 2020-04-15                 KY_Mason         121   -0.135714
 2020-04-15           KY_Three_Forks         190   -0.151786
 2020-04-15               MS_Hancock         167   -0.147959
 2020-04-15             OR_Deschutes         143   -0.148810
 2020-04-15   VA_Blue_Ridge_Campbell         119   -0.150000
 2020-04-15    VA_Blue_Ridge_Halifax         173   -0.117347
 2020-04-14                IN_Starke         112    0.166667
 2020-04-14                 KY_Casey         280    0.102362
 2020-04-14            KY_Crittenden         140    0.186441
 2020-04-14                 KY_Mason         140    0.166667
 2020-04-14               KY_Russell         112    0.217391
 2020-04-14           KY_Three_Forks         224    0.142857
 2020-04-14            MD_Dorchester         234    1.052632
 2020-04-14               MS_Hancock         196    0.101124
 2020-04-14             OR_Deschutes         168    0.135135
 2020-04-14   VA_Blue_Ridge_Campbell         140    0.157025
 2020-04-14    VA_Blue_Ridge_Halifax         196    0.132948
 2020-04-12                KY_Taylor         158   -0.338912
 2020-04-11                  KY_Knox         306   -0.138028
 2020-04-11                KY_Shelby         167   -0.292373
 2020-04-11                 KY_Wayne         159   -0.201005
 2020-04-10             IN_Hendricks         164   -0.108696
 2020-04-10                KY_Barren         144   -0.365639
 2020-04-10                 KY_Mason         120   -0.337017
 2020-04-10             OR_Clackamas         156   -0.170213
 2020-04-10                TN_Carter         214   -0.140562
 2020-04-09               IN_Clinton         122   -0.115942
 2020-04-09          KY_Breckinridge         176   -0.115578
 2020-04-09              KY_Calloway         129   -0.341837
 2020-04-09                 KY_Grant         189   -0.152466
 2020-04-09                  KY_Hart         144   -0.200000
 2020-04-09             KY_Henderson         354   -0.243590
 2020-04-09                KY_Kenton         364   -0.482219
 2020-04-09                KY_Oldham         249   -0.101083
 2020-04-09               KY_Webster         243   -0.106618
 2020-04-09             OR_Deschutes         146   -0.184358
 2020-04-08                FL_Nassau         181   -0.199115
 2020-04-08                GA_Coweta         262   -0.168254
 2020-04-08            IN_Montgomery         109   -0.495370
 2020-04-08               KY_Bullitt         196   -0.365696
 2020-04-08                 KY_Casey         256   -0.194969
 2020-04-08                  KY_Clay         267   -0.135922
 2020-04-08               KY_Daviess         575   -0.153166
 2020-04-08               KY_Greenup         105   -0.239130
 2020-04-08               KY_Hopkins         332   -0.178218
 2020-04-08                 KY_Larue         113   -0.187050
 2020-04-08                 KY_Logan         127   -0.278409
 2020-04-08                KY_Marion         254   -0.156146
 2020-04-08             KY_McCracken         409   -0.163599
 2020-04-08                 KY_Rowan         248   -0.156463
 2020-04-08           KY_Three_Forks         203   -0.311864
 2020-04-08               KY_Whitley         240   -0.250000
 2020-04-08              KY_Woodford         105   -0.233577
 2020-04-08              MI_Isabella         103   -0.162602
 2020-04-08                  NC_Clay         267   -0.155063
 2020-04-08              SC_Anderson         300   -0.197861
 2020-04-08             SD_Minnehaha         346   -0.328155
 2020-04-08                 TN_Giles         137   -0.184524
 2020-04-03                 NM_Curry         131   -0.126667
 2020-04-01                  GA_Ware         325   -0.142480
 2020-04-01                MN_Dakota         112   -0.104000
 2020-04-01             OR_Josephine         113   -0.143939
 2020-03-28               GA_Jackson         113   -0.110236
 2020-03-28                  GA_Ware         379   -0.101896
 2020-03-27                  UT_Iron         133   -0.147436
 2020-03-26              AR_Faulkner         270   -0.102990
 2020-03-26              FL_Bradford         101   -0.106195
 2020-03-26             GA_Habersham         113   -0.124031
 2020-03-26                 KY_Clark         221   -0.119522
 2020-03-26              ND_Burleigh         193   -0.138393
 2020-03-26                 NJ_Ocean         206   -0.104348
 2020-03-25                GA_Coweta         315   -0.134615
 2020-03-25              ND_Burleigh         224    0.154639
 2020-03-25            NJ_Cumberland         254   -0.114983
 2020-03-25                 NJ_Ocean         230   -0.118774
 2020-03-25             OR_Clackamas         225   -0.110672
 2020-03-25                WA_Skagit         189   -0.104265
 2020-03-24              AR_Faulkner         301   -0.283333
 2020-03-24              MD_Allegany         156   -0.142857
 2020-03-24                  MN_Polk         119   -0.150000
 2020-03-24              ND_Burleigh         194   -0.110092
 2020-03-22               GA_Fayette         152   -0.111111
 2020-03-21                GA_Sumter         119   -0.131387
 2020-03-21                MN_Dakota         150   -0.112426
 2020-03-21              ND_Burleigh         239   -0.101504
 2020-03-21              SC_Beaufort         166   -0.216981
 2020-03-21                 WA_Clark         394   -0.137856
 2020-03-20                 AR_White         204   -0.128205
 2020-03-20               LA_Lincoln         229   -0.105469
 2020-03-20               NC_Lincoln         115   -0.108527
 2020-03-20               OR_Douglas         135   -0.105960
 2020-03-20               TX_Wharton         114   -0.167883
 2020-03-20             WI_La_Crosse         111   -0.125984
 2020-03-19                AL_Blount         114   -0.155556
 2020-03-19              AL_Cherokee         103   -0.104348
