State,County,Facility_Name,Facility_Identifier,Scrape_Date,Race,Race_Population,Race_Change,Race_Proportion,Total_Population,Total_Change
AL,St_Clair,St. Clair Co. Jail - Ashville & Pell City,AL_St_Clair,4/12/20,other,0,-1,0,185,-0.155251142
AL,St_Clair,St. Clair Co. Jail - Ashville & Pell City,AL_St_Clair,4/12/20,white,148,-0.177777778,0.8,185,-0.155251142
AL,Talladega,Talladega Co. Jail,AL_Talladega,3/16/20,black,122,,0.425087108,287,
AL,Talladega,Talladega Co. Jail,AL_Talladega,3/16/20,hispanic,4,,0.013937282,287,
AL,Talladega,Talladega Co. Jail,AL_Talladega,3/16/20,other,3,,0.010452962,287,
AL,Talladega,Talladega Co. Jail,AL_Talladega,3/16/20,white,158,,0.550522648,287,
AL,Talladega,Talladega Co. Jail,AL_Talladega,4/12/20,black,107,-0.12295082,0.449579832,238,-0.170731707
AL,Talladega,Talladega Co. Jail,AL_Talladega,4/12/20,hispanic,4,0,0.016806723,238,-0.170731707
AL,Talladega,Talladega Co. Jail,AL_Talladega,4/12/20,other,3,0,0.012605042,238,-0.170731707
AL,Talladega,Talladega Co. Jail,AL_Talladega,4/12/20,white,124,-0.215189873,0.521008403,238,-0.170731707
AR,Baxter,Baxter Co. Jail,AR_Baxter,3/16/20,black,5,,0.043859649,114,
AR,Baxter,Baxter Co. Jail,AR_Baxter,3/16/20,hispanic,0,,0,114,
AR,Baxter,Baxter Co. Jail,AR_Baxter,3/16/20,other,2,,0.01754386,114,
AR,Baxter,Baxter Co. Jail,AR_Baxter,3/16/20,white,107,,0.938596491,114,
AR,Baxter,Baxter Co. Jail,AR_Baxter,4/12/20,black,4,-0.2,0.053333333,75,-0.342105263
AR,Baxter,Baxter Co. Jail,AR_Baxter,4/12/20,hispanic,0,,0,75,-0.342105263
AR,Baxter,Baxter Co. Jail,AR_Baxter,4/12/20,other,1,-0.5,0.013333333,75,-0.342105263
AR,Baxter,Baxter Co. Jail,AR_Baxter,4/12/20,white,70,-0.345794393,0.933333333,75,-0.342105263
AR,Benton,Benton Co. Det. Fac.,AR_Benton,3/16/20,black,29,,0.048092869,603,
AR,Benton,Benton Co. Det. Fac.,AR_Benton,3/16/20,hispanic,82,,0.135986733,603,
AR,Benton,Benton Co. Det. Fac.,AR_Benton,3/16/20,other,17,,0.028192371,603,
AR,Benton,Benton Co. Det. Fac.,AR_Benton,3/16/20,white,475,,0.787728027,603,
AR,Benton,Benton Co. Det. Fac.,AR_Benton,4/12/20,black,27,-0.068965517,0.053359684,506,-0.160862355
AR,Benton,Benton Co. Det. Fac.,AR_Benton,4/12/20,hispanic,71,-0.134146341,0.140316206,506,-0.160862355
AR,Benton,Benton Co. Det. Fac.,AR_Benton,4/12/20,other,15,-0.117647059,0.029644269,506,-0.160862355
AR,Benton,Benton Co. Det. Fac.,AR_Benton,4/12/20,white,393,-0.172631579,0.776679842,506,-0.160862355
AR,Boone,Boone Co. Law Enf. Ctr.,AR_Boone,3/16/20,black,3,,0.027522936,109,
AR,Boone,Boone Co. Law Enf. Ctr.,AR_Boone,3/16/20,hispanic,2,,0.018348624,109,
AR,Boone,Boone Co. Law Enf. Ctr.,AR_Boone,3/16/20,other,3,,0.027522936,109,
AR,Boone,Boone Co. Law Enf. Ctr.,AR_Boone,3/16/20,white,101,,0.926605505,109,
AR,Boone,Boone Co. Law Enf. Ctr.,AR_Boone,4/12/20,black,2,-0.333333333,0.025641026,78,-0.28440367
AR,Boone,Boone Co. Law Enf. Ctr.,AR_Boone,4/12/20,hispanic,2,0,0.025641026,78,-0.28440367
AR,Boone,Boone Co. Law Enf. Ctr.,AR_Boone,4/12/20,other,4,0.333333333,0.051282051,78,-0.28440367
AR,Boone,Boone Co. Law Enf. Ctr.,AR_Boone,4/12/20,white,70,-0.306930693,0.897435897,78,-0.28440367
AR,Columbia,Columbia Co. Jail,AR_Columbia,3/16/20,black,47,,0.602564103,78,
AR,Columbia,Columbia Co. Jail,AR_Columbia,3/16/20,hispanic,2,,0.025641026,78,
AR,Columbia,Columbia Co. Jail,AR_Columbia,3/16/20,other,1,,0.012820513,78,
AR,Columbia,Columbia Co. Jail,AR_Columbia,3/16/20,white,28,,0.358974359,78,
AR,Columbia,Columbia Co. Jail,AR_Columbia,4/12/20,black,33,-0.29787234,0.589285714,56,-0.282051282
AR,Columbia,Columbia Co. Jail,AR_Columbia,4/12/20,hispanic,2,0,0.035714286,56,-0.282051282
